#,Name,Age Start,Age End,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
,,,,,,,,,,,,,,
1,Jacob Friend,20.137,20.578,15,0,5,2,5,7,0,0.333,0.133,0.333,0.467
2,Mason Millman,16.165,16.512,4,0,0,0,0,0,0,0,0,0,0
3,Kole Sherwood,20.649,21.109,20,14,8,3,22,25,0.7,0.4,0.15,1.1,1.25
4,William Basque,17.952,18.278,1,0,0,0,0,0,0,0,0,0,0
5,Adam Timleck,19.554,20.011,1,0,1,0,1,1,0,1,0,1,1
6,Jack Duff,17.649,18.106,16,0,0,3,0,3,0,0,0.188,0,0.188
7,Christopher Paquette,19.475,19.932,16,4,5,1,9,10,0.25,0.312,0.062,0.562,0.625
8,Logan Brown,19.535,19.995,14,7,12,3,19,22,0.5,0.857,0.214,1.357,1.571
9,Johnathon Schaefer,19.453,19.896,18,1,1,1,2,3,0.056,0.056,0.056,0.111,0.167
10,Kenny Huether,20.113,20.573,16,8,7,5,15,20,0.5,0.438,0.312,0.938,1.25
11,Kyle Langdon,19.059,19.519,14,0,0,0,0,0,0,0,0,0,0
12,Luke Burghardt,19.349,19.809,18,7,8,5,15,20,0.389,0.444,0.278,0.833,1.111
13,Eric Henderson,19.401,19.861,16,1,2,1,3,4,0.062,0.125,0.062,0.188,0.25
14,Evan Krassey,19.461,19.864,1,0,0,0,0,0,0,0,0,0,0
15,Jack Kopacka,19.535,19.995,17,6,6,6,12,18,0.353,0.353,0.353,0.706,1.059
16,Chase Campbell,19.231,19.688,14,0,1,0,1,1,0,0.071,0,0.071,0.071
17,Domenico Commisso,19.573,20.033,16,4,4,6,8,14,0.25,0.25,0.375,0.5,0.875
18,Jacob Collins,19.409,19.869,18,1,1,0,2,2,0.056,0.056,0,0.111,0.111
19,Riley Stillman,19.524,19.984,19,2,7,2,9,11,0.105,0.368,0.105,0.474,0.579
20,Jake Smith,20.206,20.625,13,7,3,0,10,10,0.538,0.231,0,0.769,0.769
21,Mac Hollowell,18.974,19.434,17,4,4,3,8,11,0.235,0.235,0.176,0.471,0.647
22,Jordan Kyrou,19.368,19.828,18,11,17,7,28,35,0.611,0.944,0.389,1.556,1.944
23,Franco Sproviero,19.116,19.576,18,3,3,1,6,7,0.167,0.167,0.056,0.333,0.389
24,Shawn Boudrias,18.007,18.333,1,0,0,0,0,0,0,0,0,0,0
25,Jake Partridge,16.414,16.841,1,0,0,0,0,0,0,0,0,0,0
